Titolo,Link,Età,Descrizione,Tipo,Difficoltà,Durata,Lingua,Keywords
 Store Management Project – Day 2,https://studio.code.org/s/csa2-2022/lessons/12,14+,How will I implement my plans to create my program?,Esercizi,Media,30-60,Inglese,"['program', 'plans', 'implement', 'create']"
 Store Management Project – Day 3,https://studio.code.org/s/csa2-2022/lessons/13,14+,How is my growth as a software engineer reflected in my project?,Quiz,Media,30-60,Inglese,"['software engineer reflected', 'project', 'growth']"
 FRQ Practice,https://studio.code.org/s/csa2-2022/lessons/14,14+,How will I use what I know about classes and objects to answer a Free Response Question?,Testo,Media,30-60,Inglese,"['free response question', 'use', 'objects', 'know', 'classes']"
 Unit 2 Assessment,https://studio.code.org/s/csa2-2022/lessons/15,14+,Students complete a multiple-choice assessment that covers the unit topics.,Quiz,Media,30-60,Inglese,"['unit topics', 'students complete', 'choice assessment', 'multiple', 'covers']"
One-Dimensional (1D) Arrays,https://studio.code.org/s/csa3-2022/lessons/1,14+,How can I store multiple related values without creating multiple variables?,Quiz,Media,30-60,Inglese,['store multiple related values without creating multiple variables']
Array Elements,https://studio.code.org/s/csa3-2022/lessons/2,14+,How do I modify elements in a one-dimensional (1D) array?,Quiz,Media,30-60,Inglese,"['modify elements', 'one', 'dimensional', 'array', '1d']"
For Loops,https://studio.code.org/s/csa3-2022/lessons/3,14+,How do I search for elements in a 1D array?,Quiz,Media,30-60,Inglese,"['1d array', 'search', 'elements']"
Array Algorithms,https://studio.code.org/s/csa3-2022/lessons/4,14+,How can I use arrays to find specific elements?,Quiz,Media,30-60,Inglese,"['find specific elements', 'use arrays']"
Enhanced For Loops,https://studio.code.org/s/csa3-2022/lessons/5,14+,When would I want to traverse an array with an enhanced for loop?,Quiz,Media,30-60,Inglese,"['would', 'want', 'traverse', 'loop', 'enhanced']"
Static Variables and Constants,https://studio.code.org/s/csa3-2022/lessons/6,14+,How can I define data that does not change or that all objects of a class share?,Quiz,Media,30-60,Inglese,"['define data', 'class share', 'objects', 'change']"
Polymorphism,https://studio.code.org/s/csa3-2022/lessons/7,14+,How can I create and use arrays of different objects?,Quiz,Media,30-60,Inglese,"['use arrays', 'different objects', 'create']"
More Array Algorithms,https://studio.code.org/s/csa3-2022/lessons/8,14+,How do I plan and implement algorithms to find the minimum and maximum values in a 1D array?,Quiz,Media,30-60,Inglese,"['maximum values', 'implement algorithms', '1d array', 'plan', 'minimum']"
Reversing Arrays,https://studio.code.org/s/csa3-2022/lessons/9,14+,How would I reverse the elements in a 1D array?,Quiz,Media,30-60,Inglese,"['1d array', 'would', 'reverse', 'elements']"
 Finding Duplicates,https://studio.code.org/s/csa3-2022/lessons/10,14+,How would I check whether a 1D array contained duplicate elements?,Quiz,Media,30-60,Inglese,"['1d array contained duplicate elements', 'check whether', 'would']"
 Data for Social Good Project – Day 1,https://studio.code.org/s/csa3-2022/lessons/11,14+,What questions do I want to answer using data?,Testo,Media,30-60,Inglese,"['answer using data', 'want', 'questions']"
 Data for Social Good Project – Day 2,https://studio.code.org/s/csa3-2022/lessons/12,14+,How will I implement my plans to create my program?,Testo,Media,30-60,Inglese,"['program', 'plans', 'implement', 'create']"
 Data for Social Good Project – Day 3,https://studio.code.org/s/csa3-2022/lessons/13,14+,How is my growth as a software engineer reflected in my project?,Quiz,Media,30-60,Inglese,"['software engineer reflected', 'project', 'growth']"
 FRQ Practice,https://studio.code.org/s/csa3-2022/lessons/14,14+,How will I use what I know about 1D arrays to answer a Free Response Question?,Testo,Media,30-60,Inglese,"['free response question', '1d arrays', 'use', 'know', 'answer']"
 Unit 3 Assessment,https://studio.code.org/s/csa3-2022/lessons/15,14+,Students complete a multiple-choice assessment that covers the unit topics.,Quiz,Media,30-60,Inglese,"['unit topics', 'students complete', 'choice assessment', 'multiple', 'covers']"
The Theater,https://studio.code.org/s/csa4-2022/lessons/1,14+,What can I make with The Theater?,Quiz,Media,30-60,Inglese,"['theater', 'make']"
Object Aliases and Equality,https://studio.code.org/s/csa4-2022/lessons/2,14+,How can I check if two objects are equal?,Quiz,Media,30-60,Inglese,"['two objects', 'equal', 'check']"
Nested if Statements,https://studio.code.org/s/csa4-2022/lessons/3,14+,How can I test a combination of conditions before executing a specific action?,Quiz,Media,30-60,Inglese,"['specific action', 'test', 'executing', 'conditions', 'combination']"
Logical Operators,https://studio.code.org/s/csa4-2022/lessons/4,14+,How can logical operators be used to evaluate multiple conditions?,Quiz,Media,30-60,Inglese,"['evaluate multiple conditions', 'logical operators', 'used']"
De Morgan's Laws,https://studio.code.org/s/csa4-2022/lessons/5,14+,What are De Morgan's Laws?,Quiz,Media,30-60,Inglese,"['de morgan', 'laws']"
Static Methods,https://studio.code.org/s/csa4-2022/lessons/6,14+,Why would I use a static method?,Quiz,Media,30-60,Inglese,"['static method', 'would', 'use']"
The Math Class,https://studio.code.org/s/csa4-2022/lessons/7,14+,What can I do with the Math class?,Quiz,Media,30-60,Inglese,['math class']
Casting and Rounding,https://studio.code.org/s/csa4-2022/lessons/8,14+,How can I use casting to temporarily convert a value to a different type or round to the nearest integer?,Quiz,Media,30-60,Inglese,"['use casting', 'temporarily convert', 'nearest integer', 'different type', 'value']"
Random,https://studio.code.org/s/csa4-2022/lessons/9,14+,How can I generate and use random numbers?,Quiz,Media,30-60,Inglese,"['use random numbers', 'generate']"
 Multi-Selection Statements,https://studio.code.org/s/csa4-2022/lessons/10,14+,How can I specify different outcomes for different conditions?,Quiz,Media,30-60,Inglese,"['specify different outcomes', 'different conditions']"
 Abstract Data Art Project – Day 1,https://studio.code.org/s/csa4-2022/lessons/11,14+,What story or message do I want to convey about my data?,Esercizi,Media,30-60,Inglese,"['want', 'story', 'message', 'data', 'convey']"
 Abstract Data Art Project – Day 2,https://studio.code.org/s/csa4-2022/lessons/12,14+,How will I implement my plans to create my program?,Esercizi,Media,30-60,Inglese,"['program', 'plans', 'implement', 'create']"
 Abstract Data Art Project – Day 3,https://studio.code.org/s/csa4-2022/lessons/13,14+,How is my growth as a software engineer reflected in my project?,Quiz,Media,30-60,Inglese,"['software engineer reflected', 'project', 'growth']"
 FRQ Practice,https://studio.code.org/s/csa4-2022/lessons/14,14+,How will I use what I know about 1D arrays and conditionals to answer a Free Response Question?,Testo,Media,30-60,Inglese,"['free response question', '1d arrays', 'use', 'know', 'conditionals']"
 Unit 4 Assessment,https://studio.code.org/s/csa4-2022/lessons/15,14+,Students complete a multiple-choice assessment that covers the unit topics.,Quiz,Media,30-60,Inglese,"['unit topics', 'students complete', 'choice assessment', 'multiple', 'covers']"
Two-Dimensional (2D) Arrays,https://studio.code.org/s/csa5-2022/lessons/1,14+,What if the data I need to store is best represented as a table?,Quiz,Media,30-60,Inglese,"['best represented', 'table', 'store', 'need', 'data']"
Row-Major Traversal,https://studio.code.org/s/csa5-2022/lessons/2,14+,Heads Up! Please make a copy of any documents you plan to share with students.,Quiz,Media,30-60,Inglese,"['please make', 'students', 'share', 'plan', 'heads']"
Column-Major Traversal,https://studio.code.org/s/csa5-2022/lessons/3,14+,How do I access elements in a 2D array by column?,Quiz,Media,30-60,Inglese,"['access elements', '2d array', 'column']"
Reverse a 2D Array,https://studio.code.org/s/csa5-2022/lessons/4,14+,How can I apply my algorithm to reverse a 1D array to a 2D array?,Quiz,Media,30-60,Inglese,"['2d array', '1d array', 'reverse', 'apply', 'algorithm']"
Enhanced For Loops,https://studio.code.org/s/csa5-2022/lessons/5,14+,How can I use enhanced for loops to traverse a 2D array?,Quiz,Media,30-60,Inglese,"['use enhanced', '2d array', 'traverse', 'loops']"
Images in The Theater,https://studio.code.org/s/csa5-2022/lessons/6,14+,How can I create image filters using The Theater?,Quiz,Media,30-60,Inglese,"['create image filters using', 'theater']"
Impacts of Programs,https://studio.code.org/s/csa5-2022/lessons/7,14+,What are the beneficial and harmful impacts of programs?,Quiz,Media,30-60,Inglese,"['harmful impacts', 'programs', 'beneficial']"
Modifying Images,https://studio.code.org/s/csa5-2022/lessons/8,14+,How can I modify standard algorithms to create image filters?,Quiz,Media,30-60,Inglese,"['modify standard algorithms', 'create image filters']"
Finding Duplicates,https://studio.code.org/s/csa5-2022/lessons/9,14+,How can I apply a standard 1D array algorithm to find duplicates to a 2D array?,Quiz,Media,30-60,Inglese,"['standard 1d array algorithm', '2d array', 'find duplicates', 'apply']"
 Shifting a 2D Array,https://studio.code.org/s/csa5-2022/lessons/10,14+,How can I shift the elements in an array?,Quiz,Media,30-60,Inglese,"['shift', 'elements', 'array']"
 Personal Narrative Project – Day 1,https://studio.code.org/s/csa5-2022/lessons/11,14+,What personal experiences or interests do I want to portray in a collage or animation using images and filters?,Esercizi,Media,30-60,Inglese,"['animation using images', 'personal experiences', 'want', 'portray', 'interests']"
 Personal Narrative Project – Day 2,https://studio.code.org/s/csa5-2022/lessons/12,14+,How will I implement my plans to create my program?,Esercizi,Media,30-60,Inglese,"['program', 'plans', 'implement', 'create']"
 Personal Narrative Project – Day 3,https://studio.code.org/s/csa5-2022/lessons/13,14+,How is my growth as a software engineer reflected in my project?,Quiz,Media,30-60,Inglese,"['software engineer reflected', 'project', 'growth']"
 FRQ Practice,https://studio.code.org/s/csa5-2022/lessons/14,14+,How will I use what I know about 2D arrays and standard algorithms to answer a Free Response Question?,Testo,Media,30-60,Inglese,"['free response question', 'standard algorithms', '2d arrays', 'use', 'know']"
 Unit 5 Assessment,https://studio.code.org/s/csa5-2022/lessons/15,14+,Students complete a multiple-choice assessment that covers the unit topics.,Quiz,Media,30-60,Inglese,"['unit topics', 'students complete', 'choice assessment', 'multiple', 'covers']"
Project Planning,https://studio.code.org/s/csa6-2022/lessons/1,14+,How can I identify the requirements and things I need to know to complete a project?,Quiz,Media,30-60,Inglese,"['things', 'requirements', 'project', 'need', 'know']"
Integer and Double Objects,https://studio.code.org/s/csa6-2022/lessons/2,14+,Why would I want to represent primitive values as objects?,Quiz,Media,30-60,Inglese,"['represent primitive values', 'would', 'want', 'objects']"
ArrayLists,https://studio.code.org/s/csa6-2022/lessons/3,14+,Why would I use an ArrayList instead of an array?,Quiz,Media,30-60,Inglese,"['arraylist instead', 'would', 'use', 'array']"
Manipulating Elements,https://studio.code.org/s/csa6-2022/lessons/4,14+,How am I able to work with the data stored in an ArrayList?,Quiz,Media,30-60,Inglese,"['data stored', 'work', 'arraylist', 'able']"
Lists of Objects,https://studio.code.org/s/csa6-2022/lessons/5,14+,Why does an ArrayList only store objects?,Quiz,Media,30-60,Inglese,"['store objects', 'arraylist']"
Removing Elements,https://studio.code.org/s/csa6-2022/lessons/6,14+,How is removing data from an ArrayList different from removing data from an array?,Quiz,Media,30-60,Inglese,"['removing data', 'removing data', 'arraylist different', 'array']"
String Methods,https://studio.code.org/s/csa6-2022/lessons/7,14+,How can I analyze parts of a String?,Quiz,Media,30-60,Inglese,"['analyze parts', 'string']"
Comparing Strings,https://studio.code.org/s/csa6-2022/lessons/8,14+,How can I determine if a list of Strings are in alphabetical order?,Quiz,Media,30-60,Inglese,"['alphabetical order', 'strings', 'list', 'determine']"
String Algorithms,https://studio.code.org/s/csa6-2022/lessons/9,14+,How can I apply standard algorithms to Strings?,Quiz,Media,30-60,Inglese,"['apply standard algorithms', 'strings']"
 ArrayList Algorithms,https://studio.code.org/s/csa6-2022/lessons/10,14+,How can I modify standard algorithms to implement natural language processing techniques?,Quiz,Media,30-60,Inglese,"['implement natural language processing techniques', 'modify standard algorithms']"
 Natural Language Processing Project – Day 1,https://studio.code.org/s/csa6-2022/lessons/11,14+,"How will I use natural language processing techniques to analyze, manipulate, or generate text in a program?",Esercizi,Media,30-60,Inglese,"['use natural language processing techniques', 'generate text', 'program', 'manipulate', 'analyze']"
 Natural Language Processing Project – Day 2,https://studio.code.org/s/csa6-2022/lessons/12,14+,How will I implement my plans to create my program?,Esercizi,Media,30-60,Inglese,"['program', 'plans', 'implement', 'create']"
 Natural Language Processing Project – Day 3,https://studio.code.org/s/csa6-2022/lessons/13,14+,How is my growth as a software engineer reflected in my project?,Quiz,Media,30-60,Inglese,"['software engineer reflected', 'project', 'growth']"
 FRQ Practice,https://studio.code.org/s/csa6-2022/lessons/14,14+,How will I use what I know about ArrayLists and standard algorithms to answer a Free Response Question?,Testo,Media,30-60,Inglese,"['free response question', 'standard algorithms', 'use', 'know', 'arraylists']"
 Unit 6 Assessment,https://studio.code.org/s/csa6-2022/lessons/15,14+,Students complete a multiple-choice assessment that covers the unit topics.,Quiz,Media,30-60,Inglese,"['unit topics', 'students complete', 'choice assessment', 'multiple', 'covers']"
Project Planning,https://studio.code.org/s/csa7-2022/lessons/1,14+,How can I keep track of the tasks I need to complete for a project?,Quiz,Media,30-60,Inglese,"['keep track', 'tasks', 'project', 'need', 'complete']"
Method Parameters,https://studio.code.org/s/csa7-2022/lessons/2,14+,What are the similarities and differences between passing primitives and object references as parameters?,Quiz,Media,30-60,Inglese,"['passing primitives', 'object references', 'similarities', 'parameters', 'differences']"
Overloading Methods,https://studio.code.org/s/csa7-2022/lessons/3,14+,How can overloading a method be useful in my programs?,Esercizi,Media,30-60,Inglese,"['useful', 'programs', 'overloading', 'method']"
Private Methods,https://studio.code.org/s/csa7-2022/lessons/4,14+,How does making a method private change its functionality?,Quiz,Media,30-60,Inglese,"['method private change', 'making', 'functionality']"
Overriding Methods,https://studio.code.org/s/csa7-2022/lessons/5,14+,How can I override methods from other classes?,Quiz,Media,30-60,Inglese,"['override methods', 'classes']"
Intellectual Property,https://studio.code.org/s/csa7-2022/lessons/6,14+,What is the balance between intellectual property and algorithmic accountability?,Quiz,Media,30-60,Inglese,"['intellectual property', 'algorithmic accountability', 'balance']"
Recursion,https://studio.code.org/s/csa7-2022/lessons/7,14+,What is recursion?,Quiz,Media,30-60,Inglese,['recursion']
Recursion vs Iteration,https://studio.code.org/s/csa7-2022/lessons/8,14+,What is the difference between recursion and iteration?,Quiz,Media,30-60,Inglese,"['recursion', 'iteration', 'difference']"
Recursive Algorithms,https://studio.code.org/s/csa7-2022/lessons/9,14+,How can recursion be used to implement standard algorithms?,Esercizi,Media,30-60,Inglese,"['implement standard algorithms', 'used', 'recursion']"
 Maximizing System Reliability,https://studio.code.org/s/csa7-2022/lessons/10,14+,"What issues and impacts result from software bugs, and what are strategies to maximize system reliability?",Quiz,Media,30-60,Inglese,"['maximize system reliability', 'software bugs', 'impacts result', 'strategies', 'issues']"
 Creative Coding with The Theater – Day 1,https://studio.code.org/s/csa7-2022/lessons/11,14+,How do I identify and prioritize the tasks I still need to complete for my project?,Esercizi,Media,30-60,Inglese,"['still need', 'tasks', 'project', 'prioritize', 'identify']"
 Creative Coding with The Theater – Day 2,https://studio.code.org/s/csa7-2022/lessons/12,14+,How will I use the feedback I have received to prioritize the tasks I need to complete for my project?,Esercizi,Media,30-60,Inglese,"['use', 'tasks', 'received', 'project', 'prioritize']"
 Creative Coding with The Theater – Day 3,https://studio.code.org/s/csa7-2022/lessons/13,14+,How is my growth as a software engineer reflected in my project?,Quiz,Media,30-60,Inglese,"['software engineer reflected', 'project', 'growth']"
 FRQ Practice,https://studio.code.org/s/csa7-2022/lessons/14,14+,How will I use what I know about ArrayLists and standard algorithms to answer a Free Response Question?,Testo,Media,30-60,Inglese,"['free response question', 'standard algorithms', 'use', 'know', 'arraylists']"
 Unit 7 Assessment,https://studio.code.org/s/csa7-2022/lessons/15,14+,Students complete a multiple-choice assessment that covers the unit topics.,Quiz,Media,30-60,Inglese,"['unit topics', 'students complete', 'choice assessment', 'multiple', 'covers']"
Project Planning,https://studio.code.org/s/csa8-2022/lessons/1,14+,How can I keep track of the tasks I need to complete for a project?,Quiz,Media,30-60,Inglese,"['keep track', 'tasks', 'project', 'need', 'complete']"
Searching,https://studio.code.org/s/csa8-2022/lessons/2,14+,How can I determine the efficiency of an algorithm?,Quiz,Media,30-60,Inglese,"['efficiency', 'determine', 'algorithm']"
Binary Search,https://studio.code.org/s/csa8-2022/lessons/3,14+,How is the binary search more efficient than a linear search?,Quiz,Media,30-60,Inglese,"['linear search', 'binary search', 'efficient']"
Recursive Binary Search,https://studio.code.org/s/csa8-2022/lessons/4,14+,How can I implement the binary search recursively?,Quiz,Media,30-60,Inglese,"['binary search recursively', 'implement']"
Selection Sort,https://studio.code.org/s/csa8-2022/lessons/5,14+,How can I sort elements in a data structure?,Quiz,Media,30-60,Inglese,"['sort elements', 'data structure']"
Insertion Sort,https://studio.code.org/s/csa8-2022/lessons/6,14+,How does the insertion sort algorithm compare in efficiency with the selection sort algorithm?,Quiz,Media,30-60,Inglese,"['insertion sort algorithm compare', 'selection sort algorithm', 'efficiency']"
Merge Sort,https://studio.code.org/s/csa8-2022/lessons/7,14+,How does the merge sort algorithm compare in efficiency with the selection and insertion sort algorithms?,Quiz,Media,30-60,Inglese,"['merge sort algorithm compare', 'insertion sort algorithms', 'selection', 'efficiency']"
Multiple Lists,https://studio.code.org/s/csa8-2022/lessons/8,14+,How can I implement algorithms involving multiple lists?,Quiz,Media,30-60,Inglese,['implement algorithms involving multiple lists']
Searching and Sorting,https://studio.code.org/s/csa8-2022/lessons/9,14+,How can I combine searching and sorting algorithms to solve problems?,Quiz,Media,30-60,Inglese,"['sorting algorithms', 'solve problems', 'combine searching']"
 Privacy and Security,https://studio.code.org/s/csa8-2022/lessons/10,14+,What are the tradeoffs between the utility of data collection and safeguarding privacy and security?,Quiz,Media,30-60,Inglese,"['safeguarding privacy', 'data collection', 'utility', 'tradeoffs', 'security']"
 Creative Coding with the Console – Day 1,https://studio.code.org/s/csa8-2022/lessons/11,14+,How do I identify and prioritize the tasks I still need to complete for my project?,Esercizi,Media,30-60,Inglese,"['still need', 'tasks', 'project', 'prioritize', 'identify']"
 Creative Coding with the Console – Day 2,https://studio.code.org/s/csa8-2022/lessons/12,14+,How will I use the feedback I have received to prioritize the tasks I need to complete for my project?,Esercizi,Media,30-60,Inglese,"['use', 'tasks', 'received', 'project', 'prioritize']"
 Creative Coding with the Console – Day 3,https://studio.code.org/s/csa8-2022/lessons/13,14+,How is my growth as a software engineer reflected in my project?,Quiz,Media,30-60,Inglese,"['software engineer reflected', 'project', 'growth']"
 FRQ Practice,https://studio.code.org/s/csa8-2022/lessons/14,14+,How will I use what I know about 2D arrays and standard algorithms to answer a Free Response Question?,Testo,Media,30-60,Inglese,"['free response question', 'standard algorithms', '2d arrays', 'use', 'know']"
 Unit 8 Assessment,https://studio.code.org/s/csa8-2022/lessons/15,14+,Students complete a multiple-choice assessment that covers the unit topics.,Quiz,Media,30-60,Inglese,"['unit topics', 'students complete', 'choice assessment', 'multiple', 'covers']"
The AP CSA Exam,https://studio.code.org/s/csa9-2022/lessons/1,14+,"Students learn about the structure and expectations of the AP CSA Exam. In the process, students identify and answer questions about the exam. Students explore test-taking strategies and study resources that they can use to prepare for the exam.",Testo,Media,30-60,Inglese,"['students explore test', 'ap csa exam', 'students learn', 'students identify', 'taking strategies']"
MCQ Pre-Assessment,https://studio.code.org/s/csa9-2022/lessons/2,14+,Students complete a Multiple-Choice Pre-Assessment on AP Classroom.,Testo,Media,30-60,Inglese,"['students complete', 'choice pre', 'ap classroom', 'multiple', 'assessment']"
MCQ Study Plan,https://studio.code.org/s/csa9-2022/lessons/3,14+,Students review their results from the multiple-choice pre-assessment to create a study plan.,Testo,Media,30-60,Inglese,"['study plan', 'students review', 'choice pre', 'results', 'multiple']"
MCQ Practice – Day 1,https://studio.code.org/s/csa9-2022/lessons/4,14+,Students identify the different types of multiple-choice questions on the AP CSA Exam and strategies for approaching each type.,Testo,Media,30-60,Inglese,"['ap csa exam', 'students identify', 'different types', 'choice questions', 'type']"
MCQ Practice – Day 2,https://studio.code.org/s/csa9-2022/lessons/5,14+,Students reflect on their study plan and identify their highest priority areas for improvement. Students use a choice board of study strategies to practice for the AP CSA Exam.,Testo,Media,30-60,Inglese,"['highest priority areas', 'ap csa exam', 'study strategies', 'study plan', 'students use']"
FRQ Pre-Assessment,https://studio.code.org/s/csa9-2022/lessons/6,14+,Students complete an FRQ Pre-Assessment. ,Testo,Media,30-60,Inglese,"['students complete', 'frq pre', 'assessment']"
FRQ Study Plan,https://studio.code.org/s/csa9-2022/lessons/7,14+,Students review their results from the FRQ pre-assessment to create a study plan.,Testo,Media,30-60,Inglese,"['study plan', 'students review', 'frq pre', 'results', 'create']"
FRQ Practice – Day 1,https://studio.code.org/s/csa9-2022/lessons/8,14+,Students reflect on their study plan and identify their highest priority areas for improvement. Students use a choice board of study strategies to practice for the AP CSA Exam.,Testo,Media,30-60,Inglese,"['highest priority areas', 'ap csa exam', 'study strategies', 'study plan', 'students use']"
FRQ Practice – Day 2,https://studio.code.org/s/csa9-2022/lessons/9,14+,Students identify strategies for approaching FRQs on the AP CSA Exam.,Testo,Media,30-60,Inglese,"['students identify strategies', 'ap csa exam', 'approaching frqs']"
 Mock MCQ Exam – Day 1,https://studio.code.org/s/csa9-2022/lessons/10,14+,Students complete the first half of a mock AP CSA multiple-choice exam.,Testo,Media,30-60,Inglese,"['mock ap csa multiple', 'students complete', 'first half', 'choice exam']"
 Mock MCQ Exam – Day 2,https://studio.code.org/s/csa9-2022/lessons/11,14+,Students complete the second half of a mock AP CSA multiple-choice exam.,Testo,Media,30-60,Inglese,"['mock ap csa multiple', 'students complete', 'second half', 'choice exam']"
 Mock MCQ Exam – Day 3,https://studio.code.org/s/csa9-2022/lessons/12,14+,Students review their results on the MCQ Mock Exam and update their study plans.,Testo,Media,30-60,Inglese,"['mcq mock exam', 'study plans', 'students review', 'update', 'results']"
 Mock FRQ Exam – Day 1,https://studio.code.org/s/csa9-2022/lessons/13,14+,Students complete the first half of a mock AP CSA free response exam.,Testo,Media,30-60,Inglese,"['mock ap csa free response exam', 'students complete', 'first half']"
 Mock FRQ Exam – Day 2,https://studio.code.org/s/csa9-2022/lessons/14,14+,Students complete the second half of a mock AP CSA free response exam.,Testo,Media,30-60,Inglese,"['mock ap csa free response exam', 'students complete', 'second half']"
 Mock FRQ Exam – Day 3,https://studio.code.org/s/csa9-2022/lessons/15,14+,Students review their results on the FRQ Mock Exam and update their study plans.,Testo,Media,30-60,Inglese,"['frq mock exam', 'study plans', 'students review', 'update', 'results']"
Principles Pre-surveyCS,https://studio.code.org/s/csp1-2022/lessons/1,14+,"Welcome to Computer Science Principles! The first lesson is about getting students excited about the course and connecting their own personal interests to computer science.  Students are asked to share something they know a lot about and teach it to a small group.  Groups make a “rapid” prototype of an innovative idea and share it.  Students watch a brief video about computing innovations.  The lesson ends with students logging into the Code.org CSP course web site, and answering a brief prompt about what “computer science” means to them.",Quiz,Media,30-60,Inglese,"['org csp course web site', '“ computer science ” means', '“ rapid ” prototype', 'computer science principles', 'getting students excited']"
Welcome to CSP,https://studio.code.org/s/csp1-2022/lessons/2,14+,"Using everyday materials, students create devices for sending information to a partner. Each group then uses its device to send an answer to a question. Following this, students modify their devices to answer more complex answers, responding with one of four possible messages, then one of eight possible messages, then one of sixteen possible messages.",Quiz,Media,30-60,Inglese,"['using everyday materials', 'sixteen possible messages', 'four possible messages', 'eight possible messages', 'students create devices']"
Representing Information,https://studio.code.org/s/csp1-2022/lessons/3,14+,"Students will create rules for ordering patterns of circles and squares. Students generate all possible messages with three place values, then create rules that explain how they ordered each message. Emphasis is placed on creating clear rules so that, if another group were to follow the rules, they would generate the same list in the same order. Using these rules, students then try to list all possible messages with four place values. As the lesson concludes, students share their rules with classmates.",Quiz,Media,30-60,Inglese,"['three place values', 'four place values', 'creating clear rules', 'would generate', 'possible messages']"
Circle Square Patterns,https://studio.code.org/s/csp1-2022/lessons/4,14+,"In this lesson, students will practice representing numbers in binary (base 2), transitioning from the circle-square representations they made in the last lesson. Students will create and use a ""Flippy Do"", a manipulative which helps students convert between binary (base 2) and decimal (base 10) numbers. They will practice converting numbers and explore the concept of place value in the context of binary numbers.",Quiz,Media,30-60,Inglese,"['base 2 ), transitioning', 'practice representing numbers', 'practice converting numbers', 'helps students convert', 'base 2']"
Binary Numbers,https://studio.code.org/s/csp1-2022/lessons/5,14+,Students extend their understanding of the binary number system by exploring errors that result from overflow and rounding. They use the binary odometer widget and develop their own systems for representing fractional amounts using the Flippy Do. ,Quiz,Media,30-60,Inglese,"['representing fractional amounts using', 'binary odometer widget', 'binary number system', 'students extend', 'exploring errors']"
Overflow and Rounding,https://studio.code.org/s/csp1-2022/lessons/6,14+,"In this lesson, students create a system for representing text using only numbers while communicating with each other. They are only allowed to send numbers back-and-forth, so they must create a system to translate between number and character. At the end of the main activity they briefly review the ASCII system for representing text. The wrap up discussion emphasizes how all of the concepts thus far have ‘built’ on each other and introduces the concept of abstraction to describe this progression.",Quiz,Media,30-60,Inglese,"['‘ built ’', 'concepts thus far', 'send numbers back', 'representing text using', 'representing text']"
Representing Text,https://studio.code.org/s/csp1-2022/lessons/7,14+,Students explore how black and white images are represented.  Students use the black and white pixelation widget to represent each pixel of an image with black or white light.  They learn how to sample an analog image using small squares of uniform size (each represented with a black or white value) and reflect on the pros and cons of choosing a smaller or larger square size when sampling.,Quiz,Media,30-60,Inglese,"['analog image using small squares', 'larger square size', 'white pixelation widget', 'uniform size', 'white value']"
Black and White Images,https://studio.code.org/s/csp1-2022/lessons/8,14+,"This is a second opportunity for students to interact with the Pixelation Widget, but this time they will work with color pixels.  Students start off learning that each pixel uses red, green, and blue lights that can be turned on or off using bits. They will create more color variants using an increasing amount of bits per pixel, and apply their learning by approximating an analog color image using the widget.",Quiz,Media,30-60,Inglese,"['analog color image using', 'pixel uses red', 'color variants using', 'bits per pixel', 'using bits']"
Color Images,https://studio.code.org/s/csp1-2022/lessons/9,14+,"Students use the Text Compression Widget to experiment with compressing songs and poems and try to find their ‘personal best’ compression. A video introduces important vocabulary for the lesson and demonstrates the full features of the widget. Students pick a text they think will be ‘easy’ to compress and one they think will be ‘difficult’, paying attention to why some texts might be more compressible than others. As a wrap-up, students discuss what factors make some texts more compressible than others.",Quiz,Media,30-60,Inglese,"['‘ difficult ’, paying attention', '‘ personal best ’ compression', 'video introduces important vocabulary', '‘ easy ’', 'text compression widget']"
Lossless Compression,https://studio.code.org/s/csp1-2022/lessons/10,14+,Students are introduced to lossy compression via the Lossy Text Compression widget. They apply this concept and their prior knowledge of sampling to create their own lossy compressions of image files using the Lossy Image Widget. Students then discuss several practical scenarios where they need to decide whether to use a lossy or lossless compression algorithm. The lesson ends with a discussion of the situations where lossless compression is important and the situations where lossy compression is important.,Quiz,Media,30-60,Inglese,"['discuss several practical scenarios', 'lossy text compression widget', 'lossy image widget', 'image files using', 'lossy compression via']"
 Lossy Compression,https://studio.code.org/s/csp1-2022/lessons/11,14+,"Students are asked to reflect on who owns their creative works from this class, such as their pixel images, before reading an article describing how ownership can become complicated as analog works become digital artifacts. After reading the article, students watch several videos explaining copyright and introducing them to the Creative Commons. Students then re-read the article answering three questions about the benefits, harms, and impacts of current copyright policy. Students use their new understanding of copyright to form an opinion about current copyright policies and create a small poster justifying their opinion with a quote from the article.",Quiz,Media,30-60,Inglese,"['students watch several videos explaining copyright', 'analog works become digital artifacts', 'article answering three questions', 'current copyright policy', 'current copyright policies']"
 Intellectual Property,https://studio.code.org/s/csp1-2022/lessons/12,14+,"In this lesson students begin tackling the question of whether digitizing information has made the world a better or worse place. To begin the lesson, students place stickies on a spectrum of ""worse"" to ""better"" to state their opinion prior to doing the activity. Students then choose an article they are interested in reading using a process the class completed collectively in the previous lesson. Students will discuss their preliminary reading and opinions after today's lesson and will have a chance to start making an artifact to present their findings.",Quiz,Media,30-60,Inglese,"['lesson students begin tackling', 'whether digitizing information', 'class completed collectively', 'students place stickies', 'worse place']"
